"testtype","mincriterion","minsplit","minbucket","maxdepth","N1","N0","Time","Term","N","err","idx","err_all","min_idx","real_error"
"Teststatistic",0.95,60,10,5,709,164,13.961,1627,98,0.1879,228,0.1639,218,
"Teststatistic",0.99,10,5,5,709,164,15.668,1967,98,0.1879,229,0.1627,18,
"Teststatistic",0.99,20,10,5,709,164,15.79,1823,98,0.1879,230,0.1639,218,
"Teststatistic",0.99,20,10,6,709,164,16.767,2290,98,0.1879,231,0.1538,126,
"Teststatistic",0.99,40,10,5,709,164,15.104,1725,98,0.1879,232,0.1639,218,
"Teststatistic",0.99,40,10,6,709,164,16.038,2094,98,0.1879,233,0.1538,126,
"Teststatistic",0.99,60,10,5,709,164,13.819,1627,98,0.1879,234,0.1639,218,
"Bonferroni",0.9,20,10,4,723,168,11.548,607,100,0.1886,235,0.1762,52,
"Bonferroni",0.9,40,10,4,723,168,11.978,604,100,0.1886,236,0.1762,52,
"Bonferroni",0.9,60,10,4,723,168,11.755,604,100,0.1886,237,0.1762,52,
"Teststatistic",0.9,40,30,4,708,165,13.141,1096,98,0.189,238,0.1762,52,
"Teststatistic",0.9,60,30,4,708,165,13.043,1096,98,0.189,239,0.1762,52,
"Teststatistic",0.95,10,5,4,708,165,14.275,1387,98,0.189,240,0.1627,18,
"Teststatistic",0.95,40,30,4,708,165,14.049,1096,98,0.189,241,0.1762,52,
"Teststatistic",0.95,60,30,4,708,165,12.764,1096,98,0.189,242,0.1762,52,
"Teststatistic",0.99,10,5,4,708,165,14.256,1387,98,0.189,243,0.1627,18,
"Teststatistic",0.99,40,30,4,708,165,13.479,1096,98,0.189,244,0.1762,52,
"Teststatistic",0.99,60,30,4,708,165,12.831,1096,98,0.189,245,0.1762,52,
"Teststatistic",0.9,10,5,6,707,166,19.338,2733,98,0.1901,246,0.1538,126,
"Teststatistic",0.9,20,10,4,707,166,14.125,1366,98,0.1901,247,0.1639,218,
"Teststatistic",0.9,40,10,4,707,166,13.737,1268,98,0.1901,248,0.1639,218,
"Teststatistic",0.9,40,20,5,707,166,14.683,1550,98,0.1901,249,0.1639,218,
"Teststatistic",0.9,60,10,4,707,166,13.255,1177,98,0.1901,250,0.1639,218,
"Teststatistic",0.9,60,20,5,707,166,14.026,1457,98,0.1901,251,0.1639,218,
"Teststatistic",0.95,20,10,4,707,166,13.819,1366,98,0.1901,252,0.1639,218,
"Teststatistic",0.95,40,10,4,707,166,14.06,1268,98,0.1901,253,0.1639,218,
"Teststatistic",0.95,40,20,5,707,166,15.075,1550,98,0.1901,254,0.1639,218,
"Teststatistic",0.95,60,10,4,707,166,12.977,1177,98,0.1901,255,0.1639,218,
"Teststatistic",0.95,60,20,5,707,166,13.486,1457,98,0.1901,256,0.1639,218,
"Teststatistic",0.99,20,10,4,707,166,14.065,1366,98,0.1901,257,0.1639,218,
