"A","B","C","sigma","error","cross","SVs","obj.fun","t.user","t.sys","t.elapsed"
0,6,100,1,0,0.0276,595.9,-250.1178,1.193,0.037,1.238
0,6,1000,1,0,0.0274,598.3,-267.4065,1.165,0.041,1.216
0,6,10000,1,0,0.0271,606.1,-266.7925,1.189,0.054,1.243
0,6,1,0.1,0.0199,0.023,209.6,-152.1545,0.47,0.004,0.473
0,6,10,0.1,0.0134,0.0226,138.3,-866.7431,0.427,0,0.431
0,6,100,0.1,0.0082,0.0284,131.6,-5506.57,0.509,0,0.519
0,6,1000,0.1,0.0022,0.0364,126.3,-22768.8471,0.698,0,0.713
0,6,10000,0.1,0,0.0418,124,-38358.7308,0.826,0,0.842
0,6,1,0.01,0.0225,0.0236,352.3,-258.7126,0.768,0,0.791
0,6,10,0.01,0.0202,0.0228,175.5,-1431.9029,0.442,0.001,0.453
0,6,100,0.01,0.0186,0.023,129.9,-10805.8002,0.466,0,0.472
0,6,1000,0.01,0.0156,0.0234,115.3,-87194.5605,0.572,0,0.577
0,6,10000,0.01,0.0127,0.0286,115.1,-717614.9241,1.551,0.002,1.57
0,6,1,0.001,0.035,0.0366,889.1,-626.9972,1.664,0.064,1.749
0,6,10,0.001,0.0242,0.025,341.5,-2527.1133,0.723,0.006,0.741
0,6,100,0.001,0.0216,0.0225,176.2,-14786.4451,0.461,0,0.466
0,6,1000,0.001,0.0209,0.0238,132.4,-119298.0712,0.457,0,0.457
0,6,10000,0.001,0.018,0.0218,116.5,-1004679.3302,0.623,0,0.634
0,6,1,1e-04,0.0482,0.0892,1953,-1524.4556,2.91,0.115,3.03
0,6,10,1e-04,0.0352,0.0368,888,-6286.7576,1.588,0.027,1.614
0,6,100,1e-04,0.0246,0.026,346.6,-25960.4256,0.727,0.003,0.731
0,6,1000,1e-04,0.0205,0.0214,171.1,-142677.1169,0.452,0.002,0.462
0,6,10000,1e-04,0.0202,0.0221,126,-1158057.7503,0.454,0,0.457
0,7,1,1,0.0022,0.0152,686.9,-149.9447,1.318,0.04,1.377
0,7,10,1,0,0.0173,656.6,-183.0809,1.258,0.056,1.315
0,7,100,1,0,0.0192,659.6,-179.9862,1.257,0.05,1.346
0,7,1000,1,0,0.0158,651.7,-170.6574,1.257,0.022,1.292
0,7,10000,1,0,0.0174,653.6,-175.2492,1.279,0.042,1.324
0,7,1,0.1,0.0126,0.0162,173.9,-116.6298,0.415,0.002,0.418
0,7,10,0.1,0.009,0.0172,119.1,-611.2088,0.395,0,0.406
0,7,100,0.1,0.0028,0.0202,101,-2690.3365,0.433,0,0.439
0,7,1000,0.1,3e-04,0.0237,93.1,-6967.6762,0.459,0,0.466
0,7,10000,0.1,0,0.025,86.9,-7405.6893,0.456,0,0.457
0,7,1,0.01,0.0232,0.0241,325.5,-242.3834,0.719,0.008,0.74
0,7,10,0.01,0.0177,0.0195,163.7,-1290.3173,0.442,0,0.458
0,7,100,0.01,0.012,0.0165,112.7,-8327.9616,0.433,0,0.452
0,7,1000,0.01,0.0075,0.0154,84.7,-52188.2688,0.518,0,0.529
0,7,10000,0.01,0.0049,0.0181,76.2,-336975.3384,1.036,0,1.048
0,7,1,0.001,0.0272,0.0282,832.4,-579.5238,1.537,0.038,1.583
0,7,10,0.001,0.0228,0.0242,319.5,-2417.5075,0.686,0.016,0.704
0,7,100,0.001,0.0223,0.0232,176.7,-15132.1716,0.469,0.003,0.48
0,7,1000,0.001,0.0172,0.0186,128.2,-108954.8951,0.48,0,0.487
0,7,10000,0.001,0.0129,0.0162,107.3,-805154.758,0.694,0,0.694
0,7,1,1e-04,0.0989,0.1246,1811,-1401.7997,2.893,0.112,3.021
0,7,10,1e-04,0.0312,0.0322,836.1,-5870.064,1.429,0.038,1.471
