"kernel","C","p1","p2","error","cross","numSV","obj_f","time.elapsed","real_error"
"tanhdot",100000,0.01,-1.2,0.11,0.203,352,-20745737.272,187.415,
"rbfdot",1000,0.00001,,0.196,0.203,471,-414124.361,7.886,
"rbfdot",10000,0.1,,0.1,0.203,369,-1782835.275,15.661,
"polydot",1,5,0,0.1,0.203,403,-178.024,10.607,
"rbfdot",10,1,,0.1,0.204,526,-1930.726,7.398,
"tanhdot",1000,0.00001,-0.6,0.203,0.206,586,-486430.038,12.358,
"tanhdot",10,0.01,-1.8,0.203,0.206,528,-4402.938,9.789,
"tanhdot",1,0.01,-0.6,0.202,0.206,582,-479.613,10.795,
"tanhdot",10,0.01,1.2,0.204,0.206,448,-4209.247,7.686,
"rbfdot",100000,1,,0.1,0.206,526,-17800150.726,11.844,
"tanhdot",10,0.001,0.6,0.203,0.206,585,-4871.954,8.577,
"rbfdot",10000,1,,0.1,0.206,526,-1780150.726,12.076,
"rbfdot",1000,1,,0.1,0.207,526,-178150.726,9.505,
"tanhdot",10,0.001,-0.6,0.202,0.207,585,-4856.766,8.436,
"polydot",100,3,0,0.1,0.207,370,-17803.528,19.53,
"polydot",0.1,5,1,0.1,0.207,392,-17.814,11.751,
"rbfdot",100,1,,0.1,0.207,526,-17950.726,11.662,
"tanhdot",100,0.01,2.4,0.204,0.207,446,-42371.346,10.248,
"tanhdot",100,0.0001,-0.6,0.203,0.207,585,-48636.308,13.002,
"polydot",0.01,5,1,0.1,0.207,392,-1.794,8.338,
"polydot",0.1,4,1,0.1,0.207,368,-17.967,12.397,
"polydot",0.01,1,1,0.205,0.207,543,-4.564,7.914,
"rbfdot",1000,0.1,,0.1,0.208,370,-180835.275,10.545,
"tanhdot",10000,0.00001,-1.8,0.205,0.208,540,-4547926.532,8.795,
"polydot",100,4,0,0.1,0.208,384,-17800.229,9.665,
"tanhdot",100,0.001,-1.8,0.205,0.208,538,-45222.424,11.806,
"polydot",0.01,1,0,0.205,0.208,543,-4.564,8.119,
"tanhdot",100,0.0001,0.6,0.203,0.208,585,-48651.61,9.461,
"tanhdot",10000,0.001,1.8,0.204,0.208,336,-3835615.204,12.473,
"tanhdot",1000,0.00001,0.6,0.203,0.208,585,-486528.185,11.924,
"polydot",100,5,1,0.1,0.208,394,-17800.014,10.729,
"tanhdot",1,0.01,0,0.205,0.208,544,-457.603,11.468,
"tanhdot",1000,0.0001,1.8,0.204,0.208,539,-453801.185,11.927,
"tanhdot",1000,0.0001,-1.8,0.205,0.209,538,-453688.506,8.826,
"tanhdot",0.1,0.1,-0.6,0.207,0.209,557,-48.035,11.901,
"tanhdot",10000,0.00001,1.8,0.205,0.209,537,-4546679.212,11.953,
"polydot",0.01,4,1,0.1,0.209,375,-1.947,13.379,
"tanhdot",100,0.0001,0,0.205,0.209,542,-45644.372,11.177,
"tanhdot",100,0.001,1.8,0.205,0.209,538,-45521.852,11.914,
"tanhdot",1000,0.00001,0,0.205,0.209,542,-456443.563,11.082,
"polydot",10,5,1,0.1,0.209,393,-1780.014,11.487,
"polydot",100,4,1,0.1,0.209,368,-17800.167,12.513,
"polydot",0.01,4,0,0.1,0.209,387,-2.006,8.343,
"tanhdot",10,0.001,0,0.205,0.209,544,-4564.554,10.122,
"polydot",1,4,1,0.1,0.21,368,-178.167,13.876,
"polydot",0.1,4,0,0.1,0.21,384,-18.029,9.055,
"polydot",1,5,1,0.1,0.21,393,-178.014,12.4,
"polydot",1,4,0,0.1,0.21,384,-178.229,11.042,
"polydot",10,4,1,0.1,0.21,369,-1780.167,12.077,
"tanhdot",1000,0.1,-2.4,0.154,0.211,292,-13770812.074,9.506,
"tanhdot",10000,0.1,-2.4,0.153,0.211,274,-1356448388.749,7.628,
"tanhdot",1,0.01,0.6,0.209,0.211,587,-494.419,12.873,
"polydot",10,4,0,0.1,0.212,384,-1780.229,12.931,
"tanhdot",10,0.01,1.8,0.209,0.212,546,-4689.99,12.328,
"tanhdot",0.1,0.1,0.6,0.215,0.215,625,-55.46,12.86,
"tanhdot",10000,0.01,-0.6,0.138,0.215,333,-2996715.336,30.133,
"tanhdot",100000,0.01,-0.6,0.13,0.216,307,-87079607.744,92.381,
"tanhdot",100000,0.001,0,0.191,0.216,318,-42841140.995,136.267,
"tanhdot",100000,0.001,1.8,0.204,0.219,298,-43523134.47,9.282,
"tanhdot",1,0.1,-1.2,0.211,0.219,383,-448.947,6.158,
"tanhdot",0.1,0.1,0,0.221,0.221,551,-51.078,12.597,
"tanhdot",1,0.1,1.8,0.221,0.223,585,-551.743,12.196,
"tanhdot",10,0.1,-1.8,0.215,0.226,332,-8882.644,8.594,
"tanhdot",100,0.01,0,0.214,0.227,326,-46024.668,9.36,
"tanhdot",100000,0.1,-1.2,0.221,0.228,292,-1130196086914.21,6.671,
"tanhdot",1000,0.01,1.8,0.279,0.231,287,-1445683.338,10.356,
"tanhdot",100000,0.001,1.2,0.22,0.233,284,-71597786.361,9.249,
"rbfdot",0.1,1,,0.129,0.233,683,-58.78,11.757,
"tanhdot",100,0.01,1.8,0.23,0.233,386,-44917.003,10.005,
"tanhdot",100000,0.1,-2.4,0.153,0.235,272,-135445247697.538,9.904,
"tanhdot",10000,0.01,0,0.229,0.235,269,-184277824.392,15.747,
"tanhdot",10000,0.01,2.4,0.226,0.237,257,-8919664.374,7.177,
"tanhdot",100,0.1,-1.8,0.202,0.238,298,-621751.361,8.845,
"tanhdot",10,0.1,-1.2,0.222,0.238,317,-14143.723,6.66,
"tanhdot",100000,0.01,0,0.205,0.241,253,-981373500.991,22.721,
"tanhdot",100000,0.001,2.4,0.224,0.242,288,-58011794.842,9.806,
"tanhdot",100000,0.001,0.6,0.205,0.242,263,-95541118.945,18.286,
"tanhdot",10000,0.001,1.2,0.213,0.243,304,-5149454.647,10.57,
"tanhdot",1000,0.1,-1.8,0.195,0.244,288,-59829658.061,8.582,
"tanhdot",10000,0.001,0.6,0.223,0.244,283,-6301560.058,13.369,
"tanhdot",1000,0.1,-1.2,0.222,0.244,294,-113273788.266,8.8,
"tanhdot",100,0.1,-1.2,0.22,0.245,289,-1156385.315,6.299,
"tanhdot",100000,0.1,-1.8,0.2,0.245,282,-595842163946.68,8.749,
"tanhdot",10000,0.1,-1.2,0.221,0.248,294,-11304266256.209,6.341,
"tanhdot",10000,0.1,-1.8,0.2,0.249,284,-5960637416.152,8.095,
"tanhdot",10000,0.1,0,0.24,0.251,235,-6888107489.993,7.665,
"tanhdot",1000,0.01,0,0.22,0.254,274,-2063822.585,13.271,
"tanhdot",10000,0.01,1.8,0.239,0.255,244,-22760009.486,9.701,
"tanhdot",1,0.1,-0.6,0.24,0.255,364,-569.317,9.056,
"tanhdot",100000,0.1,1.2,0.257,0.255,236,-406623415246.167,5.489,
"tanhdot",10000,0.01,1.2,0.232,0.255,241,-55403497.091,9.818,
"tanhdot",1000,0.01,0.6,0.233,0.257,256,-1062392.363,7.014,
"rbfdot",1,10,,0.1,0.259,602,-357.192,11.129,
"rbfdot",100000,10,,0.1,0.26,556,-17800179.623,11.503,
"rbfdot",10,10,,0.1,0.261,556,-1959.623,13.8,
"rbfdot",1000,10,,0.1,0.261,556,-178179.623,9.958,
"rbfdot",100,10,,0.1,0.262,556,-17979.623,14.223,
"rbfdot",10000,10,,0.1,0.263,556,-1780179.623,10.098,
"tanhdot",100000,0.1,1.8,0.256,0.264,236,-141748515606.533,5.121,
"tanhdot",100000,0.01,1.2,0.228,0.266,239,-5332590723.28,7.382,
"tanhdot",100,0.01,1.2,0.249,0.266,333,-60423.448,9.929,
"tanhdot",10000,0.1,1.2,0.257,0.266,236,-4068327362.959,7.559,
"tanhdot",100000,0.01,0.6,0.268,0.267,273,-52738088991.326,9.915,
"tanhdot",1000,0.01,1.2,0.233,0.269,260,-769529.8,6.565,
"tanhdot",1000,0.01,2.4,0.26,0.274,321,-665626.913,10.566,
"tanhdot",10,0.1,-0.6,0.258,0.274,305,-27297.751,5.905,
"tanhdot",100,0.01,0.6,0.264,0.274,293,-80063.876,10.367,
"tanhdot",100,0.1,0.6,0.337,0.275,331,-3751093.101,8.504,
"tanhdot",100000,0.01,2.4,0.237,0.276,239,-686254526.086,6.524,
"tanhdot",1000,0.1,-0.6,0.262,0.277,290,-244612244.591,8.552,
"tanhdot",10000,0.1,1.8,0.256,0.277,237,-1419582516.125,6.939,
"tanhdot",100,0.1,-0.6,0.26,0.281,289,-2471019.039,5.59,
"tanhdot",10000,0.1,-0.6,0.262,0.283,290,-24436535527.941,9.034,
"tanhdot",100000,0.1,-0.6,0.262,0.283,290,-2443406881598.35,8.852,
"tanhdot",100000,0.01,1.8,0.238,0.284,236,-2072509808.499,5.846,
"tanhdot",10000,0.01,0.6,0.268,0.291,273,-529739160.594,8.709,
"rbfdot",10,0.0001,,0.293,0.297,686,-6128.563,12.027,
